answer_llm,answer_orig,document,question,course
You can sign up by visiting the course page at http://mlzoomcamp.com/. You can also view the syllabus directly at http://mlzoomcamp.com/#syllabus.,"Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Where can I sign up for the course?,machine-learning-zoomcamp
"Here is the sign-up link: https://airtable.com/shryxwLd0COOEaqXo

(It’s available in the course GitHub repository.)","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Can you provide a link to sign up?,machine-learning-zoomcamp
"Yes. There is a Machine Learning Zoomcamp FAQ. It’s a document for frequently asked technical questions, and you can access it via the Airtable link referenced in the course GitHub repository: https://airtable.com/shryxwLd0COOEaqXo.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Is there an FAQ for this Machine Learning course?,machine-learning-zoomcamp
"Based on the FAQ:

- The course has an original GitHub repository (the original course repo).
- You can create your own GitHub repository for the course (notes, homework, projects, etc.).
- You should fork the original course repo and add a link to your notes in your own repo under the Community Notes section, then create a pull request to sync with the original repo.
- For grading, you must provide the URL to your repository (the one containing your submission).

The FAQ does not mention a separate “sign-up link” repository.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Does this course have a GitHub repository for the sign-up link?,machine-learning-zoomcamp
"Based on the FAQ, questions and answers are organized in a simple, sectioned Q&A format:

- Sections/categories are used (e.g., General course-related questions, Miscellaneous).
- Each entry has:
  - Question: the exact user-facing question.
  - Answer: a concise response, sometimes with steps, links, or attribution.

Examples of the structure you can mirror:
- Section: General course-related questions
  - Question: How long is the course?
  - Answer: Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)

- Section: General course-related questions
  - Question: I just joined. What should I do next? How can I access course materials?
  - Answer: Welcome to the course! Go to the course page (http://mlzoomcamp.com/), scroll down and start going through the course materials. Then read everything in the cohort folder for your cohort’s year. Click on the links and start watching the videos. Also watch office hours from previous cohorts. Go to DTC YouTube channel and click on Playlists and search for {course yyyy}. ML Zoomcamp was first launched in 2021. Or you can just use this link: http://mlzoomcamp.com/#syllabus

- Section: Miscellaneous
  - Question: Do you pass a project based on the average of everyone else’s scores or based on the total score you earn?
  - Answer: Alexey Grigorev: “It’s based on all the scores to make sure most of you pass.”

How you can structure your own questions and answers similarly:
- Put the question under a relevant section.
- Keep the answer concise and provide concrete details, steps, or links when helpful.
- If an answer is attributed, include the attribution (e.g., name) as shown.","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,How can I structure my questions and answers for the course?,machine-learning-zoomcamp
"The course videos are pre-recorded and you can start watching them right now. There are occasional live office hours to answer questions, and those sessions are recorded as well. You can find both the videos and the office hours in the course playlist on YouTube.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the course videos live or pre-recorded?,machine-learning-zoomcamp
"Right now. The course videos are pre-recorded and you can start watching today. They’re available in the course playlist on YouTube, and you can watch them even if you didn’t participate in a previous iteration (they’re up-to-date).","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,When can I start watching the course videos?,machine-learning-zoomcamp
"Yes. The live office hours sessions are recorded. You can watch the recordings in the course playlist on YouTube (along with the pre-recorded videos). Everything is recorded, so you won’t miss anything.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the live office hours sessions recorded?,machine-learning-zoomcamp
In the course playlist on YouTube (the same place you find the pre-recorded videos). The office hours sessions are recorded there.,"The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I find the office hours sessions?,machine-learning-zoomcamp
"You can access the pre-recorded videos in the course playlist on YouTube. The office hours are included there as well. To find them, go to the DTC YouTube channel, click Playlists, and search for the course year (e.g., {course yyyy}). You can also reach the materials via the course page at http://mlzoomcamp.com/#syllabus.","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I access the pre-recorded course videos?,machine-learning-zoomcamp
